comment,inherent_polarization
"""Oh you're for multiculturalism AND 'universal' human rights? Well, you gotta pick one, which is it?""",0.0
"#freshbreakfastshow #msunery wen u get fired for a word dat doesnt exist not even zulu dictionary.. @METROFMSA and #SABC must stop talking about being broke, bailout wen they cant even manage to keep @DJFreshSA who was bringing listeners to the station now they losing them...",0.0
'A border war rages on the Rio near Eagle Pass with cattle rustled &amp; ranches burned. Innocents are killed or kidnapped. Jeb’s niece is missing.' California Bound by @ AuthorFranKelso. #Western #fiction RRBC IARTG books giftideas FREE on Kindle Unlimited.,0.0
"(Part 2) One benefit of being on campus during the weekends was a distinct lack of faculty or students prowling its commons. A perfect setting for a showdown between the Hall of Heroes and the Vile Villains, patent pending. Ruby giggled as she watched her sister, no... Flamous, the showy hero with an obsession for fire, strut her way proudly onto the battlefield. Snow Angel was in tow and her pout was in full effect, meaning today would be a tremendous battle indeed! Mr. Awesome... Ruby snickered seeing the underwear again, looked nauseous even as the Horrific Hammer set him on his feet. ""So, ready to give up yet?"" gloated Yang. ""In your dreams! You heroes are going down today!"" Ruby shouted back. It was deigned a 'team building exercise' by Ruby and Yang. In reality it was little more than two sisters living out a ridiculous fantasy and replicating a childhood past time. Now with more people to drag into it! Hooray for friends! Ruby suppressed a snicker and held a hand out, signaling for her weapons. A water gun weighed heavily in her palm and she slung it over her shoulder with a grin. ""Last chance to back out, Flamous."" Yang snorted and twirled dual squirt guns in her hands. ""Fat chance, Cookie Bum! What's wrong? Are we too hot to handle for you? Afraid you're gonna get burned?"" She wasn't afraid! They were villains, villains weren't afraid of anything! They did bad stuff like... Steal candy from babies, and scowl at puppies. Except Zwei. She'd never scowl at Zwei! ""Um... Yeah, well you're... Your face!"" Victory. Ruby huffed and looked to her evil cohort for help. ""Uh, guys...?"" Blake shrugged and Ren simply stared ahead, either thinking or waiting for the inevitable scuffle. ""Um... You'll..."" Pyrrha began, tapping her chin. ""Oh, I know!"" She smiled brightly. ""Our victory will be Phyrric!"" ""Are you saying we're going to lose...?"" Blake asked. ""What? Oh, no! I'm sorry!"" ""Enough talk, villains!"" Nora stormed forward and leveled her water gun at Ruby with a wide grin. ""Today's the day you bow down to us, the League of Awesome!"" Ren tilted his head. ""I thought you were the Hall of Heroes?"" ""Noooo! Renny, I mean, Silent Death,"" Nora amended. ""That's our hideout's name! We're the League of Awesome!"" ""Wait, does that make me the leader?"" Jaune asked. ""If Jaune is the leader then I formally submit my resignation,"" Weiss grumbled. ""Arrrgh, enough of this! Let's get it on already!"" Yang smiled wildly and aimed her pistols. ""Time to fry, villains!"" ""In your wildest dreams, hero scum!"" Ruby squeaked indignantly. What ensued would be a battle retold throughout the ages. Water guns were fired, balloons were popped. Jaune's were ridden into battle and subsequently hurled across the commons, then used again as battering rams. Weiss threatened to sue her friends, though everyone knew it was a hollow threat. By the time all 'ammunition' was exhausted, as were all eight combatants, a small crowd had gathered to watch the display. Ruby would fondly remember the majesty of what would be their greatest triumph. Or so she thought. ""Hah... Give up, heroes. You're finished..."" Ruby panted, hands on her knees. Water dripped from her drenched bangs and she grimaced, pulling at her soaked shirt. Yang's eyes flickered red but she reigned in her anger. Her poor hair... ""N-Never! This is your end, evildoers! We still have our secret weapon!"" Ruby stood upright with a start and whined. ""What?! You're heroes, you shouldn't have secret weapons! That's a villain thing!"" Undeterred Yang waved Nora forward and grinned maliciously. ""Tough luck! I knew you'd try something underhanded, so I took the liberty of making something too! You're finished!"" ""Wh-wha... No, we have something too! It's... Uh..."" Ruby looked around frantically then whipped around and grabbed Blake by the shoulders, shaking her. ""Shadow, where's our secret weapon?!"" Between her groans and growls Blake managed to say 'I don't know', stumbling and pushing Ruby's hands off her. Yang cleared her throat and smirked, swinging Ruby's bag from her left hand, her own in her right. ""Check and mate. You're finished!"" A few of those in the crowd cheered, having gotten into whatever absurdity was unfolding before them. Most were just confused. Ruby whined and flapped her arms uselessly, looking to her allies for help. Pyrrha was busy fretting over Jaune and plucking bits of bark from his hair. Ren was utterly exhausted in no small part thanks to Nora, and Blake was... Blake. They couldn't lose! Losing meant... ""Game over, Rubes!"" Yang grinned and pulled out two water balloons stuffed with meat sauce stolen from the cafeteria. It happened in slow motion, and in that moment Ruby saw her life flash before her eyes. She was too young, too innocent! There was still so much for her to do! Oh wait, Semblances. Ruby wove between the balloons with ease and grinned, standing tall, hands on her hips. ""Hah, you missed!"" Yang seemed frustrated, then in a surprising twist, horrified. Weiss' eyes were wide and she covered her mouth with her hands, while Nora roared with laughter. What was everyone so shocked about? Ruby tilted her head and turned, squeaking and taking a step back. ""... Ruby Rose..."" ""Y-Yeah Blake?"" Her Faunus friend glared, amber eyes boring into her very soul. Meat sauce clung to her white and black clothes, chunks of beef and mystery meat - at least Ruby assumed it was that, dripped from her hair. Blake's eye twitched and she sighed, wiping away food from her face and flicking it to the ground. ""Give me one good reason I shouldn't tell Yang where your cookie stash is right now..."" ""No, anything but that, please! I'll do anything! Just don't tell her!"" ""Wait, what?"" Blake opened her mouth and Ruby was baffled to hear a bark. Except it wasn't Blake barking - obviously, she was more like a cat anyways. Blake's face went pale at another bark and she glanced over her shoulder, howling and running across the courtyard. Zwei bounded after her, tongue hanging from his mouth and globs of spit dribbling out. Short legs or not he kept pace with the swift Huntress, barking excitedly at a prospective snack. And so ended the not-so-climatic battle between heroes and villains. Some say that the Shadow is still running to this day, fleeing from the might of Zwei: Destroyer of Worlds. ""I hate all of you!"" Blake screamed, scrambling up a tree and shooing an excited Zwei. Ruby giggled, then hid behind Yang when Blake glowered down at her. She was so dead, wasn't she?",0.49999999999999944
"(This is a rant tweet) I fucking hate private worlds with a passion. Everyone is always in them and never actually accepting any invites or cant see em. IF YOU CANT SEE THEM GO THE FUCK TO A F+ OR FRIENDS. Like jesus christ the amount of ""we should hang out more"" I hear",0.0
/pol/ is over run with teenage spics. The descendents of the illegal aliens who bred out of control once they landed in America.,0.0
2.5k for ts lever action?,0.0
4. mass contract bidding for each of these projects. dont just hand them out to halliburton and call it a day. get the committees to get off their fat asses and earn their paycheck by having them actually go through bid hearings/meetings,0.0
"A bunch of PRO GUN LOOK AT THESE \""FACTS\"" /k/ bullshit doesn't convince me",0.0
A man can take any of your rights with ease... he can kill you,0.0
"All the training you have had as a recruiter, is a total waste of time, unless the skills you learnt are built on a platform of self-belief",0.0
Amazing. Let's coordinate the non-Russian propagandists now.,0.0
Amy your taxi is here bab #loveisland,0.0
And even if they did 1 hit is a lost gun because there cowards so unless you can resupply doubtfull they would last a year,0.49999999999999944
"Another problem that arises is the fact the \""real\"" God who created the universe mistakenly believes that the firmament",0.0
Anyway the Repugnants know exactly what happened at MUH BENGHAZI--- but they were surely 100% behind the operation of sending guns to topple Assad. Since they are massive faggot Jew-puppeted hippocrites,0.4999999999999999
Anyways this dude started selling weed and coke in the streets of Nuevo Laredo. At first he started nickle and dimin'. He worked as a lacky in his early criminal career for the local Tejas gang who controlled Nuevo Laredo along with the Chachos. Anyways both the Tejas and Chachos would shit on 40 because the dude was literally dirt poor. Then the Zetas arrived on the scene in Nuevo Laredo in the year 1999. That's when Zeta-40 jumped ship,0.0
Aren’t you the most perfect human being in the world? 💛,0.0
"As far as I know, Warcraft, while not received well critically, was received well by fans",0.4999999999999996
As they should. Stop pretending.,0.0
At least this one doesn't have Hitler's piece of shit watercolor in the first window.,0.49999999999999944
Authorities say firework strike to head kills Iowa man,0.0
Awww that's horrible! Well I really like it so 🤷🏻‍♂️😊,0.0
Ayyyy shoot your shot! ✊🏼😤,0.0
"BTS are truly wonderful good hearted boys who want to sent th4 message of self love and respect for others but most ARMYs are fucking Jared, age 19. They're fucking stupid and I hate them.",0.0
Barr must be terribly scared.,0.0
Bc they dirty and scared of water 😂,0.0
"Because he’s not a public servant, he’s a personal servant.",0.0
"Because socialism keep them in power for ever, they get rich and we get poor, like Venezuela.",0.0
Bitches be mad ashit on septa 😭😭,0.0
Bonus points for shitting on another answer. If I'm in Lower hutt I'll check them out,0.4999999999999996
"But it's OK for the pig in the PEOPLE'S HOUSE to insult anyone he pleases, 24/7.",0.0
By: Pussy-pong and more...,0.0
Cheat day - Soto nasi (breakfast) - Sup kambing + Nasi (Lunch) - Chizu (Hi Tea) Enough for today 😓,0.0
Child spacing . Its a family planing method. #African,0.0
