model,instruction_prompt,text_id,text,Gender,Ethnicity,Age,Education,Sexual Orientation,Is Transgender,Political Affiliation,Is Parent,Technology Impact,Toxicity Problem,Religion Important,Seen Toxicity,Has Been Targeted,annotation
unsloth/Llama-3.3-70B-Instruct-bnb-4bit,variant1.txt,Don’t make fun of me but either careless whisper or tiny dancer,Don’t make fun of me but either careless whisper or tiny dancer,Nonbinary,Asian,Under 18,2) High School graduate,Prefer not to say,Yes,Independent,Prefer not to say,1) Very negative,4) Frequently,2) Not very,True,True,4
unsloth/Llama-3.3-70B-Instruct-bnb-4bit,variant1.txt,Don’t make fun of me but either careless whisper or tiny dancer,Don’t make fun of me but either careless whisper or tiny dancer,Nonbinary,Multiracial,6) 65 or older,6) Master's degree,Heterosexual,No,Conservative,Prefer not to say,4) Somewhat positive,2) Rarely,2) Not very,True,True,4
unsloth/Llama-3.3-70B-Instruct-bnb-4bit,variant1.txt,Don’t make fun of me but either careless whisper or tiny dancer,Don’t make fun of me but either careless whisper or tiny dancer,Male,Other,5) 55 - 64,7) Professional degree,Heterosexual,Yes,Other,Yes,2) Somewhat negative,2) Rarely,2) Not very,False,False,4
unsloth/Llama-3.3-70B-Instruct-bnb-4bit,variant1.txt,Don’t make fun of me but either careless whisper or tiny dancer,Don’t make fun of me but either careless whisper or tiny dancer,Male,Hispanic,3) 35 - 44,7) Professional degree,Heterosexual,Yes,Prefer not to say,Yes,2) Somewhat negative,2) Rarely,2) Not very,True,False,4
unsloth/Llama-3.3-70B-Instruct-bnb-4bit,variant1.txt,Don’t make fun of me but either careless whisper or tiny dancer,Don’t make fun of me but either careless whisper or tiny dancer,Male,Black,4) 45 - 54,8) Doctoral degree,Heterosexual,Prefer not to say,Liberal,Yes,3) Neutral,5) Very Frequently,1) No,True,True,4
unsloth/Llama-3.3-70B-Instruct-bnb-4bit,variant1.txt,Don’t make fun of me but either careless whisper or tiny dancer,Don’t make fun of me but either careless whisper or tiny dancer,Nonbinary,Hispanic,1) 18 - 24,4) Associate degree,Prefer not to say,Yes,Independent,Yes,4) Somewhat positive,1) Never,3) Somewhat,True,False,4
unsloth/Llama-3.3-70B-Instruct-bnb-4bit,variant1.txt,Hey dog I see you everyday on t.v. love you man,Hey dog I see you everyday on t.v. love you man,Nonbinary,White,2) 25 - 34,6) Master's degree,Homosexual,Prefer not to say,Conservative,No,1) Very negative,3) Occasionally,3) Somewhat,False,False,5
unsloth/Llama-3.3-70B-Instruct-bnb-4bit,variant1.txt,Hey dog I see you everyday on t.v. love you man,Hey dog I see you everyday on t.v. love you man,Nonbinary,Black,Under 18,4) Associate degree,Homosexual,Yes,Other,No,5) Very positive,3) Occasionally,4) Very,False,False,5
unsloth/Llama-3.3-70B-Instruct-bnb-4bit,variant1.txt,Hey dog I see you everyday on t.v. love you man,Hey dog I see you everyday on t.v. love you man,Nonbinary,Multiracial,3) 35 - 44,4) Associate degree,Homosexual,No,Liberal,No,2) Somewhat negative,3) Occasionally,4) Very,True,True,5
unsloth/Llama-3.3-70B-Instruct-bnb-4bit,variant1.txt,Hey dog I see you everyday on t.v. love you man,Hey dog I see you everyday on t.v. love you man,Unknown,Other,Under 18,1) No high school,Bisexual,No,Prefer not to say,Prefer not to say,1) Very negative,4) Frequently,4) Very,True,False,5
